Province	Electoral District Name/Nom de circonscription	Electoral District Number/Numéro de circonscription	Candidate/Candidat	Candidate Residence/Résidence du candidat	Candidate Occupation/Profession du candidat	Votes Obtained/Votes obtenus	Percentage of Votes Obtained /Pourcentage des votes obtenus	Majority/Majorité	Majority Percentage/Pourcentage de majorité
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Paul Connors Liberal/Libéral	Conception Bay South, N.L./ T.-N.-L.	Executive Assistant/Adjoint de direction	27563	58.6	10610	22.6
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Steve Kent Conservative/Conservateur	Mount Pearl, N.L./ T.-N.-L.	Consultant/Consultant	16953	36		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Judy Vanta NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Retired/À la retraite	2284	4.9		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Alexander Tilley Parti Rhinocéros Party/Parti Rhinocéros Party	Holyrood, N.L./ T.-N.-L.	Seafood Worker/Ouvrier des fruits de mer	230	0.5		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Tom Osborne Liberal/Libéral	St. John's, N.L./ T.-N.-L.	General Manager/Directeur général	31388	68.3	19544	42.5
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Corey Curtis Conservative/Conservateur	Paradise, N.L./ T.-N.-L.	Vice President, Marine Fleet/Vice-président, flotte marine	11844	25.8		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Brenda Walsh NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Retired/À la retraite	2446	5.3		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Mike Peach Animal Protection Party/Parti Protection Animaux	Mount Pearl, N.L./ T.-N.-L.	Academic Tutor / Content Developer/Tuteur académique et développeur de contenu	170	0.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Kaelem Tingate Green Party/Parti Vert	St. John's, N.L./ T.-N.-L.	Distiller/Distillateur	140	0.3		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Central Newfoundland	10003	Clifford Small ** Conservative/Conservateur	St. John's, N.L./ T.-N.-L.	Restauranteur/Restaurateur	21975	54.1	4279	10.5
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Central Newfoundland	10003	Lynette Powell Liberal/Libéral	Grand Falls-Windsor, N.L./ T.-N.-L.	Family Physician/Médecin de famille	17696	43.5		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Central Newfoundland	10003	Darian Vincent NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Bay Roberts, N.L./ T.-N.-L.	Retail Worker/Employé en commerce de détail	965	2.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Labrador	10004	Philip Earle Liberal/Libéral	Happy Valley-Goose Bay, N.L./ T.-N.-L.	Executive Management/Cadre de direction	5811	51.5	1102	9.8
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Labrador	10004	Ella Wallace Conservative/Conservateur	Happy Valley-Goose Bay, N.L./ T.-N.-L.	Operations Manager/Gestionnaire des opérations	4709	41.7		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Labrador	10004	Marius Normore NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Health and Safety Advisor/Conseiller en santé et sécurité	764	6.8		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Carol Anstey Conservative/Conservateur	Deer Lake, N.L./ T.-N.-L.	Real Estate Broker / Owner/Courtière immobilière / Propriétaire	23232	50.3	3506	7.6
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Don Bradshaw Liberal/Libéral	Corner Brook, N.L./ T.-N.-L.	Retired/À la retraite	19726	42.7		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Sarah Parsons NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Corner Brook, N.L./ T.-N.-L.	Child and Youth Worker/Travailleuse auprès de la jeunesse  	2011	4.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Robbie Coles Independent/Indépendant(e)	Cormack, N.L./ T.-N.-L.	Offshore Oil and Gas Coordinator/Coordinateur de pétrole et gaz en mer	637	1.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Pamela Geiger People's Party - PPC/Parti populaire - PPC	Erin, Ont.	Author/Auteure	537	1.2		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Joanne Thompson ** Liberal/Libéral	Logy Bay-Middle Cove-Outer Cove, N.L./ T.-N.-L.	Parliamentarian/Parlementaire	28681	62.3	16740	36.4
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	David Brazil Conservative/Conservateur	St. John's, N.L./ T.-N.-L.	Managing Partner - Small Business/Directeur associé d'une petite entreprise	11941	25.9		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Mary Shortall NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Retired/À la retraite	5172	11.2		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Otis Crandell Green Party/Parti Vert	Kitchener, Ont.	Academic Researcher/Chercheur universitaire	159	0.3		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Samuel Crête Communist/Communiste	St. John's, N.L./ T.-N.-L.	Residential Counsellor/Conseiller résidentiel	98	0.2		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Terra Nova--The Peninsulas/Terra Nova--Les Péninsules	10007	Jonathan Rowe Conservative/Conservateur	Clarenville, N.L./ T.-N.-L.	Engineer/Ingénieur	19605	48	12	0
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Terra Nova--The Peninsulas/Terra Nova--Les Péninsules	10007	Anthony Germain Liberal/Libéral	St. John's, N.L./ T.-N.-L.	Teacher/Enseignant	19593	47.9		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Terra Nova--The Peninsulas/Terra Nova--Les Péninsules	10007	Liam Ryan NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Dunville, N.L./ T.-N.-L.	Student/Étudiant	1677	4.1		
Prince Edward Island/Île-du-Prince-Édouard	Cardigan	11001	Kent MacDonald Liberal/Libéral	Souris, P.E.I./ Î.-P.-É.	Dairy Farmer/Exploitant de ferme laitière	14404	57	4962	19.6
